Filename, RDD, TF, Size, Dynamic-runtime, Dynamic-tardiness, Approx-e=0.1-runtime, Approx-e=0.1-tardiness, Approx-e=0.2-runtime, Approx-e=0.2-tardiness, Approx-e=0.3-runtime, Approx-e=0.3-tardiness, Greedy-runtime, Greedy-tardiness, BestFirst-runtime, BestFirst-tardiness
random_RDD=0.2_TF=0.2_#5.dat, 0.2, 0.2, 5, 6, 57, 9, 57, 9, 57, 8, 57, 2, 26, 4, 16
random_RDD=0.2_TF=0.2_#10.dat, 0.2, 0.2, 10, 0, 74, 0, 74, 1, 74, 0, 74, 0, 74, 7087, 74
random_RDD=0.2_TF=0.2_#15.dat, 0.2, 0.2, 15, 3, 39, 2, 84, 3, 84, 3, 84, 0, 84, NaN, NaN
random_RDD=0.2_TF=0.2_#20.dat, 0.2, 0.2, 20, 13, 236, 14, 236, 10, 236, 13, 236, 0, 528, NaN, NaN
random_RDD=0.2_TF=0.2_#25.dat, 0.2, 0.2, 25, 16, 143, 18, 143, 13, 143, 9, 143, 0, 143, NaN, NaN
random_RDD=0.2_TF=0.2_#30.dat, 0.2, 0.2, 30, 24, 339, 31, 339, 31, 339, 44, 339, 0, 504, NaN, NaN
random_RDD=0.2_TF=0.2_#35.dat, 0.2, 0.2, 35, 131, 280, 105, 462, 110, 462, 102, 462, 0, 556, NaN, NaN
random_RDD=0.2_TF=0.2_#40.dat, 0.2, 0.2, 40, 30, 547, 40, 547, 39, 547, 38, 547, 0, 744, NaN, NaN
random_RDD=0.2_TF=0.2_#45.dat, 0.2, 0.2, 45, 71, 647, 85, 647, 88, 647, 89, 647, 1, 774, NaN, NaN
random_RDD=0.2_TF=0.2_#50.dat, 0.2, 0.2, 50, 123, 497, 177, 497, 172, 497, 166, 497, 0, 85, NaN, NaN
random_RDD=0.2_TF=0.2_#55.dat, 0.2, 0.2, 55, 468, 1134, 647, 2301, NaN, NaN, 687, 2013, 1, 1791, NaN, NaN
random_RDD=0.2_TF=0.2_#60.dat, 0.2, 0.2, 60, 622, 1583, 912, 1583, 895, 1583, 957, 1583, 0, 2329, NaN, NaN
random_RDD=0.2_TF=0.2_#65.dat, 0.2, 0.2, 65, 706, 4191, 1159, 4191, 1121, 4191, 1078, 4191, 1, 9111, NaN, NaN
random_RDD=0.2_TF=0.2_#70.dat, 0.2, 0.2, 70, 393, 5617, 547, 5617, 557, 5617, 550, 5617, 1, 6718, NaN, NaN
random_RDD=0.2_TF=0.4_#5.dat, 0.2, 0.4, 5, 0, 198, 0, 203, 0, 203, 1, 203, 0, 203, 1, 198
random_RDD=0.2_TF=0.4_#10.dat, 0.2, 0.4, 10, 0, 216, 0, 216, 0, 216, 0, 216, 0, 484, 4756, 216
random_RDD=0.2_TF=0.4_#15.dat, 0.2, 0.4, 15, 10, 654, 11, 654, 11, 654, 11, 654, 11, 841, NaN, NaN
random_RDD=0.2_TF=0.4_#20.dat, 0.2, 0.4, 20, 2, 1172, 2, 1172, 2, 1172, 2, 1172, 0, 2393, NaN, NaN
random_RDD=0.2_TF=0.4_#25.dat, 0.2, 0.4, 25, 1, 1313, 1, 1313, 1, 1313, 1, 1313, 0, 1859, NaN, NaN
random_RDD=0.2_TF=0.4_#30.dat, 0.2, 0.4, 30, 10, 1183, 11, 1183, 11, 1183, 13, 1183, 0, 2530, NaN, NaN
random_RDD=0.2_TF=0.4_#35.dat, 0.2, 0.4, 35, 4, 2250, 5, 2250, 6, 2250, 6, 2250, 0, 3457, NaN, NaN
random_RDD=0.2_TF=0.4_#40.dat, 0.2, 0.4, 40, 52, 2643, 75, 2643, 73, 2643, 73, 2643, 0, 4558, NaN, NaN
random_RDD=0.2_TF=0.4_#45.dat, 0.2, 0.4, 45, 166, 4675, 210, 4675, 206, 4675, 205, 4675, 0, 7248, NaN, NaN
random_RDD=0.2_TF=0.4_#50.dat, 0.2, 0.4, 50, 189, 4986, 252, 4986, NaN, NaN, 261, 4986, 0, 7128, NaN, NaN
random_RDD=0.2_TF=0.4_#55.dat, 0.2, 0.4, 55, 170, 6295, 245, 6295, 245, 6295, 244, 6298, 0, 10467, NaN, NaN
random_RDD=0.2_TF=0.4_#60.dat, 0.2, 0.4, 60, 965, 7098, 1447, 7098, 1389, 7098, 1328, 7098, 0, 10752, NaN, NaN
random_RDD=0.2_TF=0.4_#65.dat, 0.2, 0.4, 65, 283, 11002, 388, 11002, 385, 11002, 382, 11002, 0, 15981, NaN, NaN
random_RDD=0.2_TF=0.4_#70.dat, 0.2, 0.4, 70, 4703, 15511, 8586, 15511, 8474, 15518, 8556, 15518, 0, 27691, NaN, NaN
random_RDD=0.2_TF=0.6_#5.dat, 0.2, 0.6, 5, 0, 140, 1, 140, NaN, NaN, NaN, NaN, 0, 242, 1, 140
random_RDD=0.2_TF=0.6_#10.dat, 0.2, 0.6, 10, 0, 551, 1, 551, 1, 551, 0, 551, 0, 779, 4514, 551
random_RDD=0.2_TF=0.6_#15.dat, 0.2, 0.6, 15, 0, 971, 0, 1201, 0, 1201, 0, 1201, 0, 1918, NaN, NaN
random_RDD=0.2_TF=0.6_#20.dat, 0.2, 0.6, 20, 1, 1456, 0, 1570, 0, 1570, 0, 1575, 0, 3268, NaN, NaN
random_RDD=0.2_TF=0.6_#25.dat, 0.2, 0.6, 25, 0, 2903, 1, 2903, 1, 2903, 1, 2903, 0, 4725, NaN, NaN
random_RDD=0.2_TF=0.6_#30.dat, 0.2, 0.6, 30, 156, 5043, 157, 5043, 157, 5043, 158, 5043, 0, 8621, NaN, NaN
random_RDD=0.2_TF=0.6_#35.dat, 0.2, 0.6, 35, 17, 7624, 28, 7625, 24, 7625, 29, 7625, 0, 12187, NaN, NaN
random_RDD=0.2_TF=0.6_#40.dat, 0.2, 0.6, 40, 23, 10476, 29, 10476, NaN, NaN, 34, 10476, 0, 17134, NaN, NaN
random_RDD=0.2_TF=0.6_#45.dat, 0.2, 0.6, 45, 36, 13376, 57, 13376, 55, 13376, 54, 13376, 0, 22790, NaN, NaN
random_RDD=0.2_TF=0.6_#50.dat, 0.2, 0.6, 50, 273, 13491, 328, 13491, 324, 13494, 316, 13494, 0, 22985, NaN, NaN
random_RDD=0.2_TF=0.6_#55.dat, 0.2, 0.6, 55, 19, 15283, 29, 15283, NaN, NaN, 27, 15283, 0, 20437, NaN, NaN
random_RDD=0.2_TF=0.6_#60.dat, 0.2, 0.6, 60, 845, 15072, 1221, 15072, 1237, 15072, 1219, 15072, 1, 23851, NaN, NaN
random_RDD=0.2_TF=0.6_#65.dat, 0.2, 0.6, 65, 619, 17826, 808, 17826, 806, 17826, 829, 17826, 0, 29723, NaN, NaN
random_RDD=0.2_TF=0.6_#70.dat, 0.2, 0.6, 70, 4093, 23832, 8887, 23832, NaN, NaN, 8692, 23832, 1, 51182, NaN, NaN
random_RDD=0.2_TF=0.8_#5.dat, 0.2, 0.8, 5, 0, 396, 0, 396, 0, 396, 0, 396, 0, 607, 0, 396
random_RDD=0.2_TF=0.8_#10.dat, 0.2, 0.8, 10, 0, 1569, 1, 1569, 1, 1569, 0, 1569, 0, 2029, 5644, 1569
random_RDD=0.2_TF=0.8_#15.dat, 0.2, 0.8, 15, 0, 2590, 0, 2590, 0, 2590, 0, 2590, 0, 3523, NaN, NaN
random_RDD=0.2_TF=0.8_#20.dat, 0.2, 0.8, 20, 0, 4999, 0, 4999, 0, 4999, 0, 5002, 0, 7529, NaN, NaN
random_RDD=0.2_TF=0.8_#25.dat, 0.2, 0.8, 25, 0, 5896, 0, 5896, 0, 5896, 0, 5896, 0, 8933, NaN, NaN
random_RDD=0.2_TF=0.8_#30.dat, 0.2, 0.8, 30, 0, 13769, 0, 13771, 0, 13771, 0, 13771, 0, 17145, NaN, NaN
random_RDD=0.2_TF=0.8_#35.dat, 0.2, 0.8, 35, 3, 10768, 3, 10768, 3, 10768, 4, 10768, 0, 19493, NaN, NaN
random_RDD=0.2_TF=0.8_#40.dat, 0.2, 0.8, 40, 10, 16005, 14, 16005, 13, 16005, 12, 16007, 0, 29078, NaN, NaN
random_RDD=0.2_TF=0.8_#45.dat, 0.2, 0.8, 45, 7, 28377, 13, 28377, 13, 28377, 10, 28377, 0, 43664, NaN, NaN
random_RDD=0.2_TF=0.8_#50.dat, 0.2, 0.8, 50, 15, 24800, 19, 24800, 19, 24800, 20, 24800, 0, 36886, NaN, NaN
random_RDD=0.2_TF=0.8_#55.dat, 0.2, 0.8, 55, 132, 39357, 171, 39357, 161, 39357, 169, 39357, 0, 60412, NaN, NaN
random_RDD=0.2_TF=0.8_#60.dat, 0.2, 0.8, 60, 37, 36349, 52, 36349, NaN, NaN, 42, 36349, 1, 58030, NaN, NaN
random_RDD=0.2_TF=0.8_#65.dat, 0.2, 0.8, 65, 32, 49688, 63, 66664, NaN, NaN, 49, 49693, 1, 73325, NaN, NaN
random_RDD=0.2_TF=0.8_#70.dat, 0.2, 0.8, 70, 171, 45119, 308, 45119, 304, 45119, 267, 45119, 0, 80018, NaN, NaN
random_RDD=0.2_TF=1.0_#5.dat, 0.2, 1.0, 5, 0, 419, 0, 419, 0, 419, 0, 419, 0, 536, 0, 419
random_RDD=0.2_TF=1.0_#10.dat, 0.2, 1.0, 10, 0, 1921, 0, 1921, 0, 1921, 0, 1921, 0, 2715, 5547, 1921
random_RDD=0.2_TF=1.0_#15.dat, 0.2, 1.0, 15, 0, 3944, 0, 3944, 0, 3944, 0, 3946, 0, 6022, NaN, NaN
random_RDD=0.2_TF=1.0_#20.dat, 0.2, 1.0, 20, 0, 6807, 0, 6807, 0, 6807, 0, 6807, 0, 9770, NaN, NaN
random_RDD=0.2_TF=1.0_#25.dat, 0.2, 1.0, 25, 0, 11344, 0, 11344, 0, 11344, NaN, NaN, 0, 15226, NaN, NaN
random_RDD=0.2_TF=1.0_#30.dat, 0.2, 1.0, 30, 0, 12864, 0, 12864, 0, 12864, 0, 12864, 0, 21418, NaN, NaN
random_RDD=0.2_TF=1.0_#35.dat, 0.2, 1.0, 35, 0, 22558, 0, 22558, 0, 22558, 0, 22558, 0, 28286, NaN, NaN
random_RDD=0.2_TF=1.0_#40.dat, 0.2, 1.0, 40, 0, 33256, 0, 33256, 0, 33256, 0, 33256, 0, 46494, NaN, NaN
